document,id,subject,category,country,gender,appeal_date,issue_date,action,all_dates
10108,27/03,stop action to ex 27/03 on usa/virginia,death penalty|ex 27/03|legal concern|usa,usa,,,2003-05-07,unknown,2003-05-29|2003-05-07
10109,151/03,ua 151/03 on mexico,fear for safety|indigenous|mexico|ua 151/03,mexico,,,2001-01-26,initial,2003-05-29|2001-01-26|2002-02-26
10110,135/03,first update to ua 135/03 on sudan,fear for safety|incommunicado detention|sudan|torture|ua 135/03,sudan,,,2003-05-15,first update,2003-05-28|2003-05-15
10111,133/03,stop action to ua 133/03 on nepal,nepal|ua 133/03,nepal,,,2003-05-14,stop action,2003-05-28|2003-05-14
10112,24/03,stop action on ex 24/03 on usa/oklahoma,death penalty|ex 24/03|usa,ex 24,,,2003-05-01,unknown,2003-05-28|2003-05-01
10113,149/03,ua 149/03 on indonesia,fear for safety|indonesia|students|ua 149/03,indonesia,,,,initial,2003-05-28|2003-05-19|2003-05-24
10114,148/03,ua 148/03 on morocco,health concern|journalists and writers|morocco|prisoners of conscience|ua 148/03,morocco,,,,initial,2003-05-28|2001-11-21
10115,150/03,ua 150/03 on indonesia,business people|fear for safety|indonesia|legal concern|ua 150/03,indonesia,,,,initial,2003-05-28|2003-05-19|2003-05-19
10116,138/03,stop action on ua 138/03 on nepal,fear for safety|legal professionals|nepal|torture|ua 138/03,ua 138,,,2003-05-16,stop action,2003-05-28|2003-05-16
10117,147/03,ua 147/03 on turkmenistan,arbitrary detention|fear for safety|torture|turkmenistan|ua 147/03,turkmenistan,,,,initial,2003-05-27|2003-05-26|2002-11-25|2003-04-16|2002-11-25|2002-11-25
10118,10/03,medical action ma 10/03 on china,china|death penalty|medical action ma 10/03,china,,,,unknown,2003-05-20|2003-05-15|2003-02-14
10119,145/03,ua 145/03 on sudan,children|sudan|torture|women|ua 145/03,sudan,,,,initial,2003-05-22
10120,146/03,ua 146/03 on egypt,egypt|incommunicado detention|torture|war on terror uas|ua 146/03,egypt,,,,initial,2003-05-22
10121,98/03,first update to ua 98/03 on russian federation,fear for safety|russian federation|ua 98/03,russian federation,,,2003-04-14,first update,2003-05-22|2003-04-14
10122,26/03,final update to ex 26/03 on usa/kentucky,death penalty|ex 26/03|legal concern|usa,usa,,,2003-05-07,unknown,2003-05-22|2003-05-07
10123,6/03,final update to ua 6/03 on russian federation/ turkmenistan,journalists and writers|russian federation|turkmenistan|ua 6/03,russian federation,,,2003-01-08,final update,2003-05-22|2003-01-08|2002-12-29
10124,144/03,ua 144/03 on honduras,death threats|environmental activists|fear for safety|honduras|religious leaders|ua 144/03,honduras,,,2001-11-14,initial,2003-05-21|2001-11-14|2001-06-30
10125,140/03,stop action on ua 140/03 on syria/lebanon,incommunicado detention|lebanon|legal concern|syria|torture|ua 140/03,ua 140,,,2003-05-20,stop action,2003-05-21|2003-05-20
10126,143/03,ua 143/03 on mexico,fear for safety|indigenous|legal concern|mexico|ua 143/03,mexico,,,,initial,2003-05-21
10127,140/03,ua 140/03 on syria/lebanon,lebanon|legal concern|syria|torture|ua 140/03,syria,,,,initial,
10128,141/03,ua 141/03 on honduras,fear for safety|harassment|honduras|torture|ua 141/03,honduras,,,,initial,2003-05-20
10129,125/03,first update to ua 125/03 on tunisia,torture|tunisia|ua 125/03,tunisia,,,2003-05-07,first update,2003-05-20|2003-05-07
10130,9/03,medical action ma 9/03 on china,china|health concern|medical action ma 9/03,china,,,,unknown,
10131,,,,,,,,,2003-05-19|2003-01-15|2003-05-09|2003-06-27
10132,142/03,ua 142/03 on uruguay,legal concern|refugee issues|torture|war on terror uas|uruguay|ua 142/03,uruguay,,,,initial,2003-05-20|2001-09-11|2001-12-18
10133,139/03,ua 139/03 on indonesia,enforced disappearance|extra-judicial execution|fear for safety|human rights defenders|indonesia|ua 139/03,indonesia,,,,initial,2003-05-19|2003-03-27|2002-12-09|2003-06-30
10134,340/02,final update to ua 340/02 on turkey,enforced disappearance|fear for safety|turkey|ua 340/02,turkey,,,,final update,2003-05-19|2002-11-25|2002-11-20|2003-06-30
10135,29/03,ex 29/03 on egypt,death penalty|egypt|ex 29/03,egypt,,,,unknown,2003-05-16
10136,138/03,ua 138/03 on nepal,fear for safety|legal professionals|nepal|torture|ua 138/03,nepal,,,,initial,2003-05-16|2003-06-27
10137,132/03,ua 132/03 on qatar/russian federation,artists|chechnya|journalists and writers|qatar|refugee issues|russian federation|torture|ua 132/03,qatar,,,,initial,2003-05-16|1996-04-22|1997-01-27|2003-06-27
10138,4/03,first update to ma 4/03 on israel/ot,health concern|israel/palestinian authority|medical action ma 4/03,israel,,,,unknown,
10139,,,,,,,2003-02-26,,2003-05-16|2003-02-26|2003-02-26|2003-02-11|2003-03-31
10140,134/03,ua 134/03 on turkey,fear for safety|turkey|women|ua 134/03,turkey,,,2000-06-29,initial,2003-05-15|2000-06-29|2000-11-22
10141,135/03,ua 135/03 on sudan,fear for safety|incommunicado detention|sudan|torture|ua 135/03,sudan,,,,initial,2003-05-15
10142,136/03,ua 136/03 on colombia,colombia|enforced disappearance|fear for safety|unionists|ua 136/03,colombia,,,2001-12-03,initial,2003-05-15|2003-05-06|2001-11-30|2001-12-03
10143,130/03,first update to ua 130/03 on venezuela,death threats|fear for safety|ua 130/03|venezuela|women,venezuela,,,2003-05-09,first update,2003-05-15|2003-05-09
10144,124/02,first update to ua 124/02 on venezuela,death threats|fear for safety|venezuela|women|ua 124/02,venezuela,,,2002-04-23,first update,2003-05-15|2002-04-23|2002-04-18|2002-04-13
10145,137/03,ua 137/03 on jamaica,death threats|harassment|jamaica|women|ua 137/03,jamaica,,,,initial,2003-05-15
10146,133/03,ua 133/03 on nepal,nepal|torture|ua 133/03,nepal,,,,initial,2003-05-14
10147,104/02,fifth update to ua 104/02 on china,arbitrary arrest|china|enforced disappearance|health concern|torture|ua 104/02|unionists,china,,,2002-04-05,fifth update,2003-05-14|2002-04-05|2003-01-07|2003-02-28|2003-03-24|2003-01-15
10148,131/03,ua 131/03 on guatemala,extra-judicial execution|fear for safety|guatemala|ua 131/03,guatemala,,,,initial,2003-05-14|2002-03-25|2002-03-25
10149,350/02,third update to ua 350/02 on sudan,incommunicado detention|sudan|teachers and educators|torture|ua 350/02,sudan,,,2002-12-03,third update,2003-05-14|2002-12-03|2003-04-30|2003-05-05||2002-11-29
10150,15/02,first update to medical action ma 15/02 on peru,health concern|peru|torture|medical action ma 15/02,peru,,,,unknown,
10151,,,,,,,,,2003-05-12|2002-09-05|2002-06-14|2002-06-14
10152,75/03,second update to ua 75/03 on israel/ot,health concern|israel|ua 75/03,israel,,,2003-03-17,second update,2003-05-13|2003-03-17
10153,324/02,second update to ua 324/02 on argentina,argentina|death threats|fear for safety|ua 324/02|women,argentina,,,2002-11-01,second update,2003-05-12|2002-11-01|2003-05-08
10154,28/03,ex 28/03 on usa/tennessee,death penalty|legal concern|usa|ex 28/03,usa,,,,unknown,2003-05-12|2003-06-18
10155,25/03,first update to ex 25/03 on usa/ohio,death penalty|ex 25/03|usa,usa,,,,unknown,2003-05-09|2003-05-02|2003-05-02|2003-06-27|1988-12-24|2003-06-27
10156,120/03,first update to ua 120/03 on indonesia,fear for safety|human rights defenders|indonesia|religious leaders|torture|ua 120/03,indonesia,,,,first update,2003-05-09|2003-05-02|2003-06-20
10157,122/03,first update to ua 122/03 on sudan,incommunicado detention|students|sudan|torture|ua 122/03|women,sudan,,,,first update,2003-05-09|2003-05-06|2003-06-20
10158,130/03,ua 130/03 on venezuela,fear for safety|venezuela|women|ua 130/03,venezuela,,,,initial,2003-05-09|2003-01-29|2003-06-20
10159,129/03,ua 129/03 on uzbekistan,death penalty|uzbekistan|ua 129/03,uzbekistan,,,,initial,2003-05-09|2002-09-26|2003-06-20
10160,126/03,ua 126/03 on ecuador,death threats|ecuador|fear for safety|women|ua 126/03,ecuador,,,,initial,2003-05-09|2003-04-28|2001-08-02|2000-11-06|2000-11-07|2000-11-14|2000-11-17|2003-06-20
10161,128/03,ua 128/03 on honduras,fear for safety|health concern|honduras|human rights defenders|indigenous|torture|ua 128/03,honduras,,,,initial,2003-05-08|2003-01-08|2003-06-19
10162,127/03,ua 127/03 on guatemala,fear for safety|guatemala|physical scientists|social scientists|students|women|ua 127/03,guatemala,,,,initial,2003-05-08|2002-02-21|2002-03-05|2003-06-19
10163,110/03,first update to ua 110/03 on sudan,artists|business people|incommunicado detention|physical scientists|sudan|torture|ua 110/03,sudan,,,,first update,2003-05-08|2003-04-23|2003-06-19
10164,18/01,final update to ex 18/01 on saudi arabia,death penalty|ex 18/01|flogging|saudi arabia|torture,saudi arabia,,,,unknown,2003-05-08|2001-03-01|2002-04-11|2003-05-07|2001-03-15
10165,124/03,ua 124/03 on mexico,enforced disappearance|fear for safety|indigenous|mexico|ua 124/03,mexico,,,,initial,2003-05-07
10166,61/03,second update to ua 61/03 on mexico,death threats|fear for safety|human rights defenders|indigenous|legal professionals|mexico|religious leaders|ua 61/03|women,mexico,,,2003-03-04,second update,2003-05-07|2003-03-04
10167,125/03,ua 125/03 on tunisia,torture|tunisia|ua 125/03,tunisia,,,,initial,2003-05-07
10168,26/03,ex 26/03 on usa/kentucky,children|death penalty|legal concern|usa|ex 26/03,usa,,,,unknown,2003-05-07|2003-05-05
10169,27/03,ex 27/03 on usa/virginia,death penalty|legal concern|usa|ex 27/03,usa,,,,unknown,2003-05-07|
10170,22/03,stop action on ex 22/03 on usa/georgia,death penalty|ex 22/03|usa,ex 22,,,2003-04-30,unknown,2003-05-07|2003-04-30
10171,123/03,ua 123/03 on mexico,fear for safety|human rights defenders|mexico|women|ua 123/03,mexico,,,,initial,2003-05-06
10172,122/03,ua 122/03 on sudan,incommunicado detention|students|sudan|torture|ua 122/03,sudan,,,,initial,2003-05-06
10173,121/03,ua 121/03 on turkey,fear for safety|human rights defenders|turkey|ua 121/03,turkey,,,,initial,2003-05-06
10174,117/03,ua 117/03 on sudan,children|death penalty|sudan|ua 117/03,sudan,,,,initial,2003-05-01
10175,120/03,ua 120/03 on indonesia,indonesia|torture|ua 120/03,indonesia,,,,initial,2003-05-02|2003-04-09|2003-06-13
10176,119/03,ua 119/03 on bolivia,bolivia|death threats|fear for safety|legal professionals|ua 119/03,bolivia,,,,initial,2003-05-02|2003-05-02|1996-10-18|2003-06-13
10177,118/03,ua 118/03 on bolivia,bolivia|death threats|fear for safety|indigenous|ua 118/03,bolivia,,,,initial,2003-05-02|1996-10-18|2002-09-17|2003-06-13
10178,25/03,ex 25/03 on usa/ohio,death penalty|usa|ex 25/03,usa,,,,unknown,2003-05-02|1988-12-24
10179,23/03,stop action for ex 23/03 on usa/missouri,death penalty|ex 23/03|usa,usa,,,,unknown,2003-05-02|2003-05-01|2003-05-01|2003-10-29
10180,104/03,second update to ua 104/03 on egypt,egypt|fear for safety|incommunicado detention|journalists and writers|ua 104/03,egypt,,,2003-04-16,second update,2003-05-01|2003-04-16
10181,35/03,final update to ua 35/03 on iraq,enforced disappearance|fear for safety|iraq|torture|ua 35/03,iraq,,,2003-02-06,final update,2003-05-01|2003-02-06|2003-03-20
10182,14/02,second update to medical action ma 14/02 on myanmar,health concern|health professionals|medical action ma 14/02|myanmar,myanmar,,,,unknown,
10183,,,,,,,,,
10184,24/03,ex 24/03 on usa/oklahoma,death penalty|usa|ex 24/03,usa,,,,unknown,2003-05-01|2003-05-01|2003-05-01
10185,104/03,second update to ua 104/03 on egypt,egypt|incommunicado detention|journalists and writers|torture|ua 104/03,egypt,,,2003-04-16,second update,2003-05-01|2003-04-16
10186,23/03,ex 23/03 on usa/missouri,death penalty|usa|ex 23/03,usa,,,,unknown,2003-05-01|2003-05-14|2003-05-01
10187,116/03,ua 116/03 on colombia,colombia|enforced disappearance|fear for safety|ua 116/03,colombia,,,,initial,2003-04-30
10188,22/03,ex 22/03 on usa/georgia,death penalty|usa|ex 22/03,usa,,,,unknown,2003-04-30|2003-05-06|1973-05-14|2003-04-30|
10189,350/02,second update to ua 350/02 on sudan,incommunicado detention|students|sudan|teachers and educators|torture|ua 350/02,sudan,,,,second update,2003-04-30|2002-12-03|2003-01-15||2002-11-29|2002-11-29|2003-06-11
10190,9/03,first update to ua 9/03 on guatemala,death threats|guatemala|human rights defenders|ua 9/03,guatemala,,,2003-01-09,first update,2003-04-29|2003-01-09
10191,15/02,nsa 15/02 on usa,children|refugee issues|usa|war on terror uas|nsa 15/02,usa,,,,unknown,
10192,115/03,ua 115/03 on azerbaijan,azerbaijan|fear for safety|human rights defenders|women|ua 115/03,azerbaijan,,,,initial,2003-04-28
10193,114/03,ua 114/03 on syria,incommunicado detention|syria|torture|ua 114/03,syria,,,,initial,2003-04-25|2003-06-06
10194,95/03,fourth follow-up to ua 95/03 on indonesia,health concern|indonesia|torture|ua 95/03,indonesia,,,,fourth follow-up,2003-04-25|2003-04-09|2003-04-14|2003-04-16|2003-06-06
10195,113/03,ua 113/03 on panama/colombia,colombia|enforced disappearance|fear for safety|refugee issues|panama|ua 113/03,panama,,,,initial,2003-04-24|2003-06-05
10196,112/03,ua 112/03 on cuba,cuba|health concern|prisoners of conscience|ua 112/03,cuba,,,,initial,2003-04-24|2003-03-18|2003-04-03|2003-06-05
10197,111/03,ua 111/03 on jordan,fear for safety|iraq|jordan|refugee issues|war on terror uas|ua 111/03,jordan,,,,initial,2003-04-24|2003-06-05
10198,185/02,ua 185/02 on nepal,fear for safety|nepal|students|torture|ua 185/02,nepal,,,,initial,2002-06-19|2001-11-23|2002-04-10
10199,185/02,first update to ua 185/02 on nepal,disappearance|fear for safety|health concern|nepal|students|torture|ua 185/02,nepal,,,,first update,2003-04-23|2002-06-19|2002-06-17|2003-01-03|2002-04-26|2003-03-26|2002-06-19|2003-04-21|2002-09-30|2001-11-23|2003-01-29|2003-04-22|2002-06-17|2003-06-04
10200,108/03,first update to ua 108/03 on philippines,artists|philippines|ua 108/03|women,philippines,,,,first update,2003-04-23|2003-04-22
10201,104/03,first update to ua 104/03 on egypt,egypt|incommunicado detention|journalists and writers|torture|ua 104/03|war on terror uas,egypt,,,2003-04-16,first update,2003-04-23|2003-04-16
10202,110/03,ua 110/03 on sudan,artists|business people|incommunicado detention|physical scientists|sudan|torture|ua 110/03,sudan,,,,initial,2003-04-23
10203,109/03,ua 109/03 on sudan,incommunicado detention|journalists and writers|sudan|torture|ua 109/03|war on terror uas,sudan,,,,initial,2003-04-22
10204,107/03,stop action to ua 107/03 on drc,democratic republic of congo|health professionals|human rights defenders|legal concern|prisoners of conscience|students|ua 107/03|women,drc,,,2003-04-19,stop action,2003-04-22|2003-04-19
10205,108/03,ua 108/03 on philippines,artists|disappearance|fear for safety|human rights defenders|philippines|ua 108/03,philippines,,,,initial,2003-04-22
10206,216/02,second update to ua 216/02 on brazil,brazil|fear for safety|indigenous|ua 216/02|women,brazil,,,2002-07-17,second update,2003-04-22|2002-07-17
10207,107/03,ua 107/03 on democratic republic of congo (drc),democratic republic of congo|health professionals|human rights defenders|legal concern|prisoners of conscience|students|women|ua 107/03,democratic republic of congo,,,,initial,2003-04-17|2002-12-18|2003-05-29
10208,106/03,ua 106/03 on turkey,fear for safety|turkey|war on terror uas|ua 106/03,turkey,,,,initial,2003-04-17|2000-12-13|2003-05-06|2003-03-26|2003-04-14|2002-10-16|2003-05-06|2003-05-29
10209,52/03,first update to ua 52/03 on sudan,incommunicado detention|students|sudan|teachers and educators|torture|ua 52/03,sudan,,,,first update,2003-04-17|2003-02-21|2003-05-29
10210,288/02,first update to ua 288/02 on uganda,extra-judicial execution|fear for safety|torture|ua 288/02|uganda,uganda,,,,first update,2003-04-17|2002-09-20|2002-11-14|2003-02-14|2003-05-29
10211,369/02,first update to ua 369/02 on jordan,death penalty|jordan|legal concern|torture|ua 369/02|war on terror uas,jordan,,,2002-12-19,first update,2003-04-16|2002-12-19
10212,95/03,third update to ua 95/03 on indonesia,health concern|indonesia|torture|ua 95/03,indonesia,,,2003-04-11,third update,2003-04-16|2003-04-11|2003-04-14
10213,53/03,first update to ua 53/03 on argentina,argentina|death threats|fear for safety|journalists and writers|ua 53/03|women,argentina,,,2003-02-21,first update,2003-04-16|2003-02-21|2002-06-26|2003-02-21
10214,104/03,ua 104/03 on egypt,egypt|incommunicado detention|journalists and writers|torture|war on terror uas|ua 104/03,egypt,,,,initial,2003-03-20
10215,101/03,ua 101/03 on colombia,colombia|disappearance|fear for safety|ua 101/03,colombia,,,,initial,2003-04-16
10216,105/03,ua 105/03 on brazil,brazil|fear for safety|religious leaders|unionists|women|ua 105/03,brazil,,,,initial,2003-04-16|1997-04-07
10217,103/03,ua 103/03 on sudan,business people|sudan|torture|ua 103/03,sudan,,,,initial,2003-04-15
10218,102/03,ua 102/03 on sudan,incommunicado detention|sudan|torture|ua 102/03,sudan,,,,initial,2003-04-15
10219,360/02,correction to ua 360/02 on kenya,kenya|ua 360/02,kenya,,,,correction,
10220,100/03,ua 100/03 on guatemala,death threats|fear for safety|guatemala|ua 100/03,guatemala,,,,initial,2003-04-14|2001-09-05|2001-09-07|2000-02-29
10221,227/02,second update to ua 227/02 on egypt,egypt|torture|ua 227/02|women,egypt,,,2002-07-23,second update,2003-04-14|2002-07-23|2003-03-20
10222,21/03,ex 21/03 on cuba,cuba|death penalty|ex 21/03|war on terror uas,cuba,,,,unknown,2003-04-14
10223,95/03,second update to ua 95/03 on indonesia,indonesia|torture|ua 95/03,indonesia,,,2003-04-09,second update,2003-04-14|2003-04-09
10224,214/02,second update to ua 214/02 on egypt,children|egypt|fear for safety|torture|ua 214/02|women,egypt,,,2002-07-16,second update,2003-04-14|2002-07-16
10225,98/03,ua 98/03 on russian federation,fear for safety|russian federation|ua 98/03,russian federation,,,,initial,2003-04-14|2003-03-26|2002-04-20|2001-04-20
10226,360/02,first update to ua 360/02 on kenya,health concern|incommunicado detention|kenya|students|torture,kenya,,,2002-12-13,first update,2003-04-11|2002-12-13
10227,36/03,second update to ua 36/03 on mexico,fear for safety|mexico|ua 36/03,mexico,,,2003-02-07,second update,2003-04-11|2003-02-07|2002-12-20|2003-03-16|2003-03-16|2003-03-16
10228,95/03,first update to ua 95/03 on indonesia,indonesia|torture|ua 95/03,indonesia,,,2003-04-09,first update,2003-04-11|2003-04-09
10229,6/03,refugee action nsa 6/03 on iraq/usa,iraq|nsa 6/03|refugee issues|usa|war on terror uas,iraq,,,,unknown,2003-04-02
10230,12/03,ex 12/03 on iraq,ex 12/03|fear for safety|iraq|war on terror uas,iraq,,,,unknown,2003-02-11
10231,96/03,ua 96/03 on philippines,disappearance|fear for safety|philippines|war on terror uas|ua 96/03,philippines,,,,initial,2003-04-10
10232,95/03,correction to ua 95/03 on indonesia,indonesia|torture|ua 95/03,indonesia,,,,correction,
10233,91/03,first update to ua 91/03 on sudan,incommunicado detention|students|sudan|torture|ua 91/03,sudan,,,2003-04-04,first update,2003-04-09|2003-04-04
10234,95/03,ua 95/03 on indonesia,indonesia|torture|ua 95/03,indonesia,,,,initial,2003-04-09
10235,7/03,"medical action ma 7/03 on us,uk and iraq",health concern|iraq|medical action ma 7/03|united kingdom|usa|war on terror uas,"us,uk and iraq",,,,unknown,
10236,,,,,,,,,2003-04-09|2003-05-18
10237,81/03,second update to ua 81/03 on zimbabwe,fear for safety|torture|ua 81/03|zimbabwe,zimbabwe,,,2003-03-21,second update,2003-04-08|2003-03-21
10238,5/03,first update to medical action ma 5/03 on viet nam,health concern|health professionals|medical action ma 5/03|viet nam,viet nam,,,,unknown,
10239,,,,,,,,,2003-04-08|2003-03-28|2003-03-17|2003-03-17|2003-05-31
10240,94/03,ua 94/03 on guatemala,fear for safety|guatemala|human rights defenders|ua 94/03,guatemala,,,,initial,2003-04-08|2001-09-07|2002-02-28|2002-02-07|2002-07-08|2002-08-28
10241,93/03,ua 93/03 on guatemala,fear for safety|guatemala|human rights defenders|women|ua 93/03,guatemala,,,,initial,2003-04-08|2002-06-11|2002-07-23|2003-02-12|2003-03-13
10242,92/03,ua 92/03 on indonesia,indonesia|prisoners of conscience|students|torture|women|ua 92/03,indonesia,,,,initial,2003-01-25|2003-01-25
10243,4/03,second update to ua 4/03 on turkmenistan,environmental activists|prisoners of conscience|torture|turkmenistan|ua 4/03,turkmenistan,,,2003-01-07,second update,2003-04-07|2003-01-07|2002-12-23
10244,62/03,final update to ua 62/03 on iran,iran|legal professionals|teachers and educators|torture|ua 62/03,iran,,,,final update,2003-04-04|2003-03-04
10245,19/03,first update to ex 19/03 on usa/oh,death penalty|ex 19/03|usa,usa,,,,unknown,2003-04-04|2003-03-27|2003-06-24
10246,46/03,stop action to ua 46/03 on usa/ok,death penalty|ua 46/03|usa,usa,,,,stop action,2003-04-04|2003-02-18
10247,91/03,ua 91/03 on sudan,incommunicado detention|students|sudan|torture|ua 91/03|war on terror uas,sudan,,,,initial,2003-04-04|2003-05-16
10248,90/03,ua 90/03 on guatemala,fear for safety|guatemala|women|ua 90/03,guatemala,,,,initial,2003-04-03|2003-02-07|2000-10-16|2001-10-19|2002-07-02
10249,73/03,last update to ua 73/03 on armenia,armenia|fear for safety|human rights defenders|prisoners of conscience|ua 73/03,armenia,,,2003-03-17,last update,2003-04-02|2003-03-17
10250,76/03,final update to ua 76/03 on sudan,incommunicado detention|journalists and writers|prisoners of conscience|sudan|torture|ua 76/03,sudan,,,,final update,2003-04-02|2003-03-18
10251,6/03,medical action ma 6/03 on guinea-bissau,guinea-bissau|health concern|torture|medical action ma 6/03,guinea-bissau,,,,unknown,
10252,,,,,,,,,2003-04-02|2003-03-09|2001-05-24|2003-05-31
10253,84/03,third update to ua 84/03 on egypt,artists|egypt|health concern|torture|ua 84/03|war on terror uas,egypt,,,2003-03-24,third update,2003-04-01|2003-03-24|2003-03-28|2003-03-25
10254,61/03,first update to ua 61/03 on mexico,death threats|fear for safety|indigenous|legal professionals|mexico|ua 61/03|women,mexico,,,2003-03-04,first update,2003-04-01|2003-03-04|2003-03-31|2003-03-31
10255,83/03,first update to ua 83/03 on jordan,business people|jordan|legal concern|prisoners of conscience|ua 83/03|war on terror uas,jordan,,,2003-03-24,first update,2003-04-01|2003-03-24|2003-03-30
10256,88/03,ua 88/03 on iran,artists|fear for safety|health concern|iran|journalists and writers|legal concern|ua 88/03,iran,,,,initial,2003-03-31|2003-02-04
10257,85/03,stop action to ua 85/03 on sudan,human rights defenders|incommunicado detention|prisoners of conscience|sudan|torture|ua 85/03,sudan,,,2003-03-25,stop action,2003-03-31|2003-03-25
10258,89/03,ua 89/03 on colombia,colombia|fear for safety|unionists|women|ua 89/03,colombia,,,,initial,2003-03-31|2003-03-06|2002-06-25
10259,366/03,second update to ua 366/03 on syria,health concern|prisoners of conscience|syria|ua 263/02,syria,,,2002-12-18,second update,2003-03-31|2002-12-18
10260,75/03,first update to ua 75/03 on israel,health concern|human rights defenders|israel|ua 75/03,israel,,,,first update,2003-03-31|2003-03-17
10261,20/03,ex 20/03 on egypt,death penalty|egypt|legal professionals|women|ex 20/03,egypt,,,,unknown,2003-03-31
10262,81/03,first update to ua 81/03 on zimbabwe,disappearance|fear for safety|torture|ua 81/03|zimbabwe,zimbabwe,,,2003-03-21,first update,2003-03-28|2003-03-21
10263,84/03,second update to ua 84/03 on egypt,artists|children|egypt|health concern|legal professionals|torture|ua 84/03|war on terror uas|women,egypt,,,2003-03-24,second update,2003-03-28|2003-03-24|2003-03-21|2003-03-21
10264,5/03,medical action ma 5/03 on viet nam,health professionals|prisoners of conscience|viet nam|medical action ma 5/03,viet nam,,,,unknown,
10265,,,,,,,2003-03-13,,2003-03-28|2003-03-17|2003-03-13|2003-03-22||1978-02-18|2003-05-31
10266,86/03,first update to ua 86/03 on afghanistan/usa,afghanistan|health concern|incommunicado detention|legal concern|refugee issues|torture|ua 86/03|usa|war on terror uas,afghanistan,,,2003-03-26,first update,2003-03-27|2003-03-26|2002-12-13|2003-03-25|2003-03-21|2003-05-08
10267,87/03,ua 87/03 on indonesia,disappearance|fear for safety|human rights defenders|indonesia|ua 87/03,indonesia,,,,initial,2003-03-27|2002-12-09
10268,19/03,ex 19/03 on usa/ohio,death penalty|legal concern|usa|ex 19/03,usa,,,,unknown,2003-03-27|
10269,300/02,final update to ua 300/02 on usa/texas,death penalty|legal concern|ua 300/02|usa,usa,,,2002-10-03,final update,2003-03-27|2002-10-03|2003-02-18|2003-03-26
10270,5/03,refugee action #nsa 5/03 on usa,nsa 5/03|refugee issues|usa|war on terror uas,usa,,,,unknown,
10271,82/03,final update to ua 82/03 on pakistan,fear for safety|pakistan|ua 82/03,pakistan,,,2003-03-25,final update,2003-03-27|2003-03-25
10272,9/03,second update to ex 9/03 on usa/maryland,death penalty|ex 9/03|usa,usa,,,2003-02-10,unknown,2003-03-26|2003-02-10|2003-02-20
10273,18/03,final update to ex 18/03 on usa/georgia,death penalty|ex 18/03|legal concern|usa,usa,,,2003-03-10,unknown,2003-03-26|2003-03-10|2003-03-25
10274,84/03,first update to ua 84/03 on egypt,artists|children|egypt|health concern|legal professionals|torture|ua 84/03|war on terror uas|women,egypt,,,2003-03-24,first update,2003-03-26|2003-03-24|2003-03-21
10275,86/03,ua 86/03 on afghanistan/usa,afghanistan|health concern|incommunicado detention|torture|ua 86/03|usa|war on terror uas,afghanistan,,,,initial,2003-03-26|2001-10-07
10276,85/03,ua 85/03 on sudan,human rights defenders|incommunicado detention|prisoners of conscience|sudan|torture|ua 85/03,sudan,,,,initial,
10277,82/03,ua 82/03 on pakistan,fear for safety|human rights defenders|pakistan|ua 82/03,pakistan,,,,initial,2003-03-25
10278,64/03,first update to ua 64/03 on india,children|death threats|fear for safety|india|ua 64/03|women,india,,,2003-03-06,first update,2003-03-24|2003-03-06
10279,83/03,ua 83/03 on jordan,business people|jordan|legal concern|prisoners of conscience|ua 83/03|war on terror uas,jordan,,,,initial,2003-03-24
10280,104/02,fourth update to ua 104/02 on china,arbitrary arrest|china|disappearance|health concern|torture|ua 104/02|unionists,china,,,2003-02-26,fourth update,2003-03-24|2003-02-26|2003-01-07|2003-02-28|2003-01-15
10281,84/03,ua 84/03 on egypt,artists|egypt|health concern|legal professionals|torture|ua 84/03|war on terror uas,egypt,,,,initial,2003-03-24
10282,81/03,ua 81/03 on zimbabwe,disappearance|fear for safety|zimbabwe|ua 81/03,zimbabwe,,,,initial,2003-03-21
10283,79/03,ua 79/03 on cuba,cuba|prisoners of conscience|ua 79/03,cuba,,,,initial,2003-03-19
10284,13/03,stop action to ex 13/03 on usa/oklahoma,death penalty|ex 13/03|usa,usa,,,2003-02-12,unknown,2003-03-19|2003-02-12
10285,78/03,ua 78/03 on guinea bissau,guinea-bissau|incommunicado detention|torture|ua 78/03,guinea bissau,,,,initial,2003-03-09
10286,69/03,stop action on ua 69/03 on zimbabwe,disappearance|fear for safety|ua 69/03|zimbabwe,ua 69,,,2003-03-11,stop action,2003-03-19|2003-03-11
10287,77/03,ua 77/03 on egypt,egypt|incommunicado detention|physical scientists|torture|ua 77/03,egypt,,,,initial,2003-02-21
10288,76/03,ua 76/03 on sudan,incommunicado detention|journalists and writers|prisoners of conscience|sudan|torture|ua 76/03,sudan,,,,initial,2003-03-18
10289,320/02,second update to ua 320/02 on qatar,death penalty|journalists and writers|qatar|ua 320/02,qatar,,,2002-10-28,second update,2003-03-18|2002-10-28|2003-03-17
10290,10/03,update to ex 10/03 on usa,death penalty|usa|ex 10/03,usa,,,2003-02-10,unknown,2003-03-18|2003-02-10|2003-03-18
10291,73/03,ua 73/03 on armenia,fear for safety|human rights defenders|prisoners of conscience|armenia|ua 73/03,armenia,,,,initial,2003-03-17
10292,74/03,ua 74/03 on mexico,indigenous|mexico|ua 74/03,mexico,,,,initial,2003-03-17
10293,75/03,ua 75/03 on israel,health concern|israel|ua 75/03,israel,,,,initial,2003-03-11
