category,category_count,event_type,classification
|subject:  eighth update for ua 296/11 on bahrain,1,0,0
ua 56/03,1,0,0
ua 026/10,1,0,0
ua 56/06,1,0,0
ua 56/07,1,0,0
ua 56/04,1,0,0
ua 56/05,1,0,0
ua 56/09,1,0,0
ua 033,1,0,0
ua 254/10,1,0,0
medical action ma 20/04,1,5,12
ua 67/11,1,0,0
ua 67/10,1,0,0
ua 15/04,1,0,0
ua 112/08,1,0,0
ua 239/11,1,0,0
ua 239/10,1,0,0
ua 328,1,0,0
(ua 93/11),1,0,0
ua 66/11,1,0,0
ua 027/10,1,0,0
ua 027/11,1,0,0
|subject:  ua 292/12 on honduras,1,0,0
ua 58/04,1,0,0
(ua 39/11),1,0,0
ua 199/04,1,0,0
ua 199/07,1,0,0
women's rights defenders,1,4,0
indigenous community,1,4,0
|subject:  ua 203/11 on usa (texas),1,0,0
ua 233/08,1,0,0
ua 233/03,1,0,0
ua 231/02,1,0,0
ua 231/03,1,0,0
prisoner conditions,1,5,0
ua 231/04,1,0,0
ua 84/10,1,0,0
ua 84/11,1,0,0
ua 243/06,1,0,0
ua 351/03,1,0,0
ua 351/02,1,0,0
ua 65/11,1,0,0
ua 128/10,1,0,0
ua 128/11,1,0,0
ua 80/08,1,0,0
ua 80/05,1,0,0
oregon,1,3,0
ua 80/06,1,0,0
ua 145/05,1,0,0
ua 215/04,1,0,0
|subject:  ua 155/12 on usa (issued 6/1/2012),1,0,0
iraqi kurdistan,1,3,0
ua 144/07,1,0,0
ua 144/06,1,0,0
ua 144/05,1,0,0
ua 194/05,1,0,0
ua 266/07,1,0,0
ua 197/06,1,0,0
ua 7/98,1,0,0
ua 146/03,1,0,0
ua 266/05,1,0,0
ua 146/05,1,0,0
ua 146/04,1,0,0
ua 146/06,1,0,0
ua 146/09,1,0,0
ua 724/04,1,0,0
ua 237/09,1,0,0
ua 237/04,1,0,0
ua 237/05,1,0,0
ua 237/07,1,0,0
uas 2011. migrants,1,4,0
ua 052/10,1,0,0
uaa oo5/10,1,0,0
ua 103/06,1,0,0
(ua 88/11),1,0,0
man,1,0,0
ua 203/09,1,0,0
ua 235/08,1,0,0
ua 235/06,1,0,0
ua 235/07,1,0,0
ua 235/04,1,0,0
ua 235/05,1,0,0
ua 73/09 roma people,1,4,0
ua 203/04,1,0,0
nsa 4/04,1,0,0
ua 82/09,1,0,0
ua 82/07,1,0,0
ua 82/06,1,0,0
ua 82/05,1,0,0
ua 128/06,1,0,0
|subject:  ua 30/13 on honduras (issued 7 february),1,0,0
ua 02/08,1,0,0
ex 30/03,1,0,0
ua s 2011,1,0,0
|subject:  eighth update to ua 347/09 on iran,1,0,0
ua 131/03,1,0,0
ua 339/03,1,0,0
nsa 9/04,1,0,0
ua 208/03,1,0,0
ua 208/07,1,0,0
ua 190/08,1,0,0
ua 016/11,1,0,0
uaa155/09,1,0,0
ua 190/05,1,0,0
ua 196/04,1,0,0
|subject:  second update to ua 205/11 on sudan,1,0,0
ua 196/08,1,0,0
ua 196/09,1,0,0
ua 294/07,1,0,0
ua 294/06,1,0,0
(ua 118/11),1,0,0
ua 58/10,1,0,0
ua 194/07,1,0,0
ua 323/09,1,0,0
ua 194/03,1,0,0
ua 183/03,1,0,0
(ua 152/10),1,0,0
ua 325/03,1,0,0
ua 56/11,1,0,0
ua 325/09,1,0,0
oklahoma,1,3,0
ua 292/09,1,0,0
ua 119/03,1,0,0
ua 119/02,1,0,0
ua 119/06,1,0,0
ua 121/11,1,0,0
ua 292/06,1,0,0
ua 198/11,1,0,0
ua 198/10,1,0,0
ua 08/09,1,0,0
ua 327/04,1,0,0
ua 147/09,1,0,0
medical action ma 21/04,1,5,12
ua 358/02,1,0,0
ua 327/08,1,0,0
ua 185/05,1,0,0
ua 239/08,1,0,0
(ua 10/11),1,0,0
ua 161/06,1,0,0
ua 239/06,1,0,0
ua 239/07,1,0,0
ua 66/05,1,0,0
ua 147/03,1,0,0
ua 113/09,1,0,0
ua 199/11,1,0,0
fiji,1,3,0
ua 129/06,1,0,0
ua 129/07,1,0,0
ua 129/04,1,0,0
ua 129/05,1,0,0
uaao24/10,1,0,0
ua 324/05,1,0,0
womens rights activist,1,4,0
ua 176/04,1,0,0
ua 140/07,1,0,0
ua 05/08,1,0,0
ua 84/09,1,0,0
ua 324/04,1,0,0
ua 114/04,1,0,0
ua 140/09,1,0,0
ua 140/08,1,0,0
ua 145/11,1,0,0
ua 114/05,1,0,0
ua 78/08,1,0,0
medical action ma 15/02,1,5,12
ua 329/04,1,0,0
ua 329/07,1,0,0
ua 329/03,1,0,0
ua 151/06,1,0,0
ua 07/08,1,0,0
ua 07/09,1,0,0
ua 097/10,1,0,0
ua 201/06,1,0,0
|subject:  ua 165/10 on egypt,1,0,0
ua 263/05,1,0,0
medical action ma 11/03,1,5,12
(ua 76/11),1,0,0
medical action ma 11/04,1,5,12
ua 207/06,1,0,0
ua 205/09,1,0,0
ua 28/11,1,0,0
ua 207/08,1,0,0
ua 98/03,1,0,0
assault,1,2,3
nsa 3/05,1,0,0
|subject:  first update to ua 224/11 on syria,1,0,0
ua 151/03,1,0,0
ua 146/10,1,0,0
ex 045/03,1,0,0
ua 193/03,1,0,0
ua 280/03,1,0,0
ua 187/03,1,0,0
st. vincent and the grenadines,1,3,0
ua 29/04,1,0,0
uaa025/10,1,0,0
ua 203/10,1,0,0
ua 203/11,1,0,0
uaa 170/10,1,0,0
ua 335/07,1,0,0
ua 335/06,1,0,0
medical action ma 14/05,1,5,12
nsa 15/02,1,0,0
ua 294/09,1,0,0
ua 294/08,1,0,0
(ua 271/09),1,0,0
medical action ma 001/07,1,5,12
ua 294/03,1,0,0
(ua 90/11),1,0,0
ua 94/07,1,0,0
ua 157/05,1,0,0
ua 157/04,1,0,0
ua 21/08,1,0,0
ua 127/03,1,0,0
ua 127/08,1,0,0
ua 127/09,1,0,0
ua 21/06,1,0,0
ua 21/07,1,0,0
ua 263/09,1,0,0
ua 296/07,1,0,0
ua 296/03,1,0,0
ua 263/03,1,0,0
ua 296/08,1,0,0
ua 193/08,1,0,0
ua 260/11,1,0,0
ua 404/97,1,0,0
uaa343/09,1,0,0
ua 265/09,1,0,0
ua 265/07,1,0,0
ua 265/05,1,0,0
ua 265/04,1,0,0
ua 320/09,1,0,0
ua 320/08,1,0,0
ua 320/06,1,0,0
ua 320/05,1,0,0
ua 119/10,1,0,0
ua 121/09,1,0,0
ua 121/03,1,0,0
ua 121/04,1,0,0
ua 121/05,1,0,0
(ua 277/09),1,0,0
ua 198/05,1,0,0
ua 71/11,1,0,0
ua 96/05,1,0,0
ua 125/07,1,0,0
ua 125/04,1,0,0
ua 125/05,1,0,0
ua 27/09,1,0,0
volunteers and migrants at migrants' shelter,1,4,0
ua 125/08,1,0,0
ua 79/10,1,0,0
ua 238/03,1,0,0
ua 238/06,1,0,0
ua 238/08,1,0,0
ua 102/09,1,0,0
ua 102/08,1,0,0
ua 267/07,1,0,0
ua 77/10,1,0,0
ua 77/11,1,0,0
ua 102/03,1,0,0
ua 267/09,1,0,0
ua 267/08,1,0,0
ua 102/07,1,0,0
ua 102/06,1,0,0
nsa 2/07,1,0,0
nsa 2/06,1,0,0
nsa 2/05,1,0,0
nsa 2/04,1,0,0
ua 140/11,1,0,0
ua 347/03,1,0,0
risk of abduction,1,0,0
(ua 92/11),1,0,0
|subject:  first update on ua 43/08 on iraq,1,0,0
ua 200/03,1,0,0
ua 05/10,1,0,0
ua 78/11,1,0,0
ua 78/10,1,0,0
ua 89/03,1,0,0
ua 145/08,1,0,0
ua 145/09,1,0,0
ua 89/08,1,0,0
ua 89/09,1,0,0
ua 169/04,1,0,0
ua 07/10,1,0,0
medical action # ma 1/04 on singapore,1,5,12
ua 85/06,1,0,0
ua 85/08,1,0,0
ua 85/09,1,0,0
ua 206/05,1,0,0
ua 86/05,1,0,0
ua 229/06,1,0,0
ua 220/04,1,0,0
ua 206/07,1,0,0
ua 174/11,1,0,0
ua 174/10,1,0,0
|subject:  final update to ua 218/10 on chad,1,0,0
ua 198/03,1,0,0
ua 28/03,1,0,0
ua 28/07,1,0,0
ua 28/05,1,0,0
medical action ma 10/05,1,5,12
ua 202/05,1,0,0
|subject:  ua 286/11 on dominican republic,1,0,0
ua 202/08,1,0,0
ua 202/09,1,0,0
ua 232/06,1,0,0
ua 37/07,1,0,0
ua 232/05,1,0,0
ua 75/03,1,0,0
ua 164/04,1,0,0
ua 191/03,1,0,0
ua 191/04,1,0,0
ua 191/07,1,0,0
ua 191/09,1,0,0
ua 191/08,1,0,0
nsa 8/04,1,0,0
ua 317/08,1,0,0
ua 53/10,1,0,0
ua 01/10,1,0,0
ua 117/08,1,0,0
ua 317/04,1,0,0
ua 317/07,1,0,0
ua 03/08,1,0,0
ua 03/09,1,0,0
ua 207/10,1,0,0
ua 197/07,1,0,0
ua 262/10,1,0,0
|subject:  ua 200/11 on serbia,1,0,0
ua 197/04,1,0,0
ua 195/09,1,0,0
ua 143/05,1,0,0
ua 195/04,1,0,0
(ua 247/10),1,0,0
ua 322/03,1,0,0
ua 311/08,1,0,0
ua 322/09,1,0,0
ua 311/04,1,0,0
ua 147/04,1,0,0
(ua 46/11),1,0,0
nsa 11/03,1,0,0
ua 313/07,1,0,0
ua 326/08,1,0,0
ua 326/05,1,0,0
ua 21/12,1,0,0
ua 313/08,1,0,0
ua 324/09,1,0,0
ua 324/08,1,0,0
ua 263/10,1,0,0
ua 263/11,1,0,0
nsa 5/06,1,0,0
nsa 5/04,1,0,0
ua 25/05,1,0,0
ua 25/06,1,0,0
ua 293/06,1,0,0
ua 293/07,1,0,0
ua 293/04,1,0,0
ua 293/09,1,0,0
ua 193/11,1,0,0
ua 20/10,1,0,0
ua 204/05,1,0,0
ua 260/08,1,0,0
ua 260/09,1,0,0
ua 276/02,1,0,0
ua 260/04,1,0,0
ua 260/05,1,0,0
ua 260/07,1,0,0
|subject:  ua 54/13 on iran,1,0,0
(ua 62/11),1,0,0
ua 265/11,1,0,0
ua 222/05,1,0,0
nsa 7/04,1,0,0
nsa 7/06,1,0,0
ua 276/07,1,0,0
ua 222/03,1,0,0
ex 65/02,1,0,0
|subject:  ua 275/12 on mexico,1,0,0
ua 62/04,1,0,0
ua 26/10,1,0,0
ua 26/11,1,0,0
ua 104/04,1,0,0
uaa347/09,1,0,0
|subject:  first update to ua 257/10 on china,1,0,0
ua 264/11,1,0,0
ua 242/08,1,0,0
ua 71/07,1,0,0
ua 162/11,1,0,0
ua 296/04,1,0,0
ua 106/03,1,0,0
ua 27/07,1,0,0
ill-treatment .,1,2,5
medical action ma 16/03,1,5,12
ua 328/03,1,0,0
ua 328/06,1,0,0
ua 328/04,1,0,0
(ua 37/11),1,0,0
ua 328/08,1,0,0
ua 291/09,1,0,0
ua 04/09,1,0,0
uaa26/10,1,0,0
ua 79/06,1,0,0
ua 242/07,1,0,0
ua 72/03,1,0,0
ua 176/10,1,0,0
ua 253/10,1,0,0
nsa 1/06,1,0,0
|subject:  first update to ua 284/09 on china,1,0,0
ua 267/10,1,0,0
(ua 41/11),1,0,0
ua 102/11,1,0,0
ua 77/05,1,0,0
risk of torture and ill-treatment,1,1,17
ua 178/11,1,0,0
ua 178/10,1,0,0
nsa 1/107,1,0,0
(ua 94/11),1,0,0
ua 73/04,1,0,0
firing squad,1,0,0
unfair trial/torture/prisoners of conscience,1,2,16
ua 74/09,1,0,0
ua 73/09,1,0,0
ua 73/08,1,0,0
(ua 27/11),1,0,0
(ua 296/09),1,0,0
(ua 64/11),1,0,0
two males,1,4,0
|subject:  ua 109/13 on indonesia issued on (29 april 2013),1,0,0
ua 174/04,1,0,0
(ua 114/11),1,0,0
ua 174/06,1,0,0
ua 174/08,1,0,0
ua 174/09,1,0,0
ua 90/05,1,0,0
ua 90/07,1,0,0
ua 122/09,1,0,0
|subject:  final update to ua 57/10 on egypt,1,0,0
ua 122/07,1,0,0
ua 122/05,1,0,0
water rights,1,5,11
ua 068/09,1,0,0
uaa 009/10,1,0,0
ua 348/03,1,0,0
ua 295/08,1,0,0
ua 295/05,1,0,0
ua 295/06,1,0,0
ua 93/05,1,0,0
ua 191/10,1,0,0
lawyer,1,4,0
ua 240/04,1,0,0
ua 267/05,1,0,0
ua 240/05,1,0,0
|subject:  ua 242/11 on saudi arabia,1,0,0
ua 318/04,1,0,0
ua 318/05,1,0,0
excecution,1,2,1
ua 12/05,1,0,0
ua 03/10,1,0,0
ua 262/03,1,0,0
uaa345/09,1,0,0
ua 262/04,1,0,0
ua 262/05,1,0,0
ua 262/09,1,0,0
ua 195/11,1,0,0
ua 192/06,1,0,0
ua 192/07,1,0,0
ua 192/08,1,0,0
ua 192/09,1,0,0
ua 102/05,1,0,0
ua 120/05,1,0,0
ua 120/09,1,0,0
(ua 58/11),1,0,0
family,1,4,0
ua 321/05,1,0,0
(ua 257/10),1,0,0
ua 105/10,1,0,0
ua 321/08,1,0,0
ua 321/09,1,0,0
ua 126/07,1,0,0
ua 126/06,1,0,0
ua 126/05,1,0,0
ua 25/11,1,0,0
ua 25/10,1,0,0
ua 124/06,1,0,0
ua 126/09,1,0,0
ua 20/06,1,0,0
ua 297/08,1,0,0
ua 197/11,1,0,0
ua 20/09,1,0,0
ua 20/08,1,0,0
|subject:  ua 94/13 on angola issued on (15 april 2013),1,0,0
ua 26/08,1,0,0
ua 186/10,1,0,0
|subject:  first update ua 95/13 on bangladesh issued on (15 april 2013),1,0,0
ua 26/04,1,0,0
ua 341/08,1,0,0
ua 264/09,1,0,0
ua 264/04,1,0,0
ua 264/05,1,0,0
risk of death,1,1,7
nebraska,1,3,0
hong kong,1,3,0
|subject:  ua 49/13 on libya (issued 26 february 2013),1,0,0
ua 266/08,1,0,0
ua 266/06,1,0,0
washington state,1,3,0
ua 266/03,1,0,0
ua 10/05,1,0,0
ua 59/07,1,0,0
ua 103/07,1,0,0
ua 103/05,1,0,0
ua 111/11,1,0,0
|subject:  first update on ua 11/08 on israel/opt/egypt,1,0,0
ua 96/08,1,0,0
ua 96/04,1,0,0
doctor,1,3,0
ua 176/08,1,0,0
nsa 3/04,1,0,0
nsa 3/06,1,0,0
ua 178/08,1,0,0
ua 212/07,1,0,0
ua 29/06,1,0,0
ua 29/07,1,0,0
ua 11/10,1,0,0
ua 29/09,1,0,0
ua 178/07,1,0,0
ua 94/06,1,0,0
|subject:  final update to ua 347/12 on sri lanka (issued 13 february 2013),1,0,0
ua 94/01,1,0,0
ua 213/11,1,0,0
ua 213/10,1,0,0
ua 94/08,1,0,0
ua 94/09,1,0,0
nsa 4/03,1,0,0
(ua 111/11),1,0,0
ua 215/11,1,0,0
ua 68/07,1,0,0
fines,1,5,11
ua 24/01,1,0,0
ns 12/03,1,0,0
(ua 84/11),1,0,0
(ua 38/11),1,0,0
ua 29/08,1,0,0
ua 314/04,1,0,0
ua 314/06,1,0,0
ua 314/07,1,0,0
ua 122/10,1,0,0
ua 314/03,1,0,0
nsa 16/03,1,0,0
ua 316/03,1,0,0
(ua 48/11),1,0,0
ua 316/04,1,0,0
ua 291/05,1,0,0
ua 316/08,1,0,0
ua 101/11,1,0,0
ua 213/04,1,0,0
ua 123/11,1,0,0
ua 123/10,1,0,0
unlawful killing/ legal concern/ fear for safety,1,1,1
right to life,1,5,0
ua 18/08,1,0,0
ua 18/09,1,0,0
ua 18/04,1,0,0
ua 60/99,1,0,0
usa (alabama),1,0,0
ua 231/1,1,0,0
ua 261/07,1,0,0
ua 219/10,1,0,0
nsa 4/05,1,0,0
ua076/10,1,0,0
ua 24/09,1,0,0
ua 24/07,1,0,0
ua 24/06,1,0,0
ua 24/05,1,0,0
ua 74/07,1,0,0
ua 74/05,1,0,0
ua 245/08,1,0,0
ua 214/04,1,0,0
usa-idaho,1,3,0
ua 214/03,1,0,0
ua 245/05,1,0,0
ua 245/07,1,0,0
ua 310/09,1,0,0
ua 120/10,1,0,0
ua 120/11,1,0,0
|subject:  first update ua 73/13 on chad issued on (15 april 2013),1,0,0
ua 246/10,1,0,0
ua 310/04,1,0,0
ua 310/07,1,0,0
ua 105/08,1,0,0
ua 105/09,1,0,0
ua 243/09,1,0,0
uaa346/09,1,0,0
nsa 003/07,1,0,0
ua 243/04,1,0,0
ua 105/04,1,0,0
ua 105/05,1,0,0
(ua 113/11),1,0,0
ua 105/07,1,0,0
(ua 126/07),1,0,0
ua 216/03,1,0,0
ua 182/02,1,0,0
ua 216/02,1,0,0
|subject:  ua 321/12 on brazil,1,0,0
ua 346/08,1,0,0
ua 336/06,1,0,0
ua 312/09,1,0,0
ua 312/06,1,0,0
ua 312/04,1,0,0
ua 312/03,1,0,0
ua 124/11,1,0,0
ua 319/04,1,0,0
ua 115/08,1,0,0
ua 31/06,1,0,0
|subject:  ua 86/13 on mexico (issued on 8 april 2013),1,0,0
ua 112/07,1,0,0
ua 302/05,1,0,0
|subject:  final update to ua 280/12 on china,1,0,0
ua 243/08,1,0,0
human rights activist,1,0,0
ua 8/11,1,0,0
ua 76/05,1,0,0
ua 76/08,1,0,0
ill treatment,1,2,5
ua 243/03,1,0,0
medical action ma 17/04,1,5,12
|subject:  first update on ua 99/08 on turkmenistan,1,0,0
ua 105/06,1,0,0
ua 184/11,1,0,0
(ua 63/11),1,0,0
ua 70/07,1,0,0
ua 172/09,1,0,0
ua 72/08,1,0,0
ua 72/09,1,0,0
ua 72/04,1,0,0
ua 72/06,1,0,0
ua 72/07,1,0,0
ua 70/08,1,0,0
ua 70/09,1,0,0
ua 164/08,1,0,0
ua 241/07,1,0,0
ua 241/06,1,0,0
ua 107/04,1,0,0
ua 241/09,1,0,0
ua 241/08,1,0,0
ua 164/06,1,0,0
zahra salih,1,4,0
ua 298/01,1,0,0
ua 298/05,1,0,0
ua 96/10,1,0,0
ua 66/10,1,0,0
|subject:  first update to ua 123/10 on peru,1,0,0
ua 29/10,1,0,0
ua 11/03,1,0,0
ua 299/03,1,0,0
ua 11/07,1,0,0
ua 11/06,1,0,0
ua 213/09,1,0,0
ua 177/09,1,0,0
ua 94/10,1,0,0
ua 177/05,1,0,0
ua 177/04,1,0,0
ua 17/11,1,0,0
ua 215/03,1,0,0
ua 91/06,1,0,0
ua 215/08,1,0,0
ua 215/09,1,0,0
ua 91/08,1,0,0
ua 202/06,1,0,0
ua 346/03,1,0,0
ua 152/11,1,0,0
|subject:  ua 319/11 on myanmar,1,0,0
|subject:  ua 85/13 on india (issued on 5 april 2013),1,0,0
|subject:  second update to ua 129/09 on sri lanka,1,0,0
ua 217/03,1,0,0
ua 268/03,1,0,0
ua 217/09,1,0,0
ua 159/04,1,0,0
ua 159/07,1,0,0
ua 141/07,1,0,0
ua 248/06,1,0,0
ua 141/08,1,0,0
ua 248/05,1,0,0
ua 183/11,1,0,0
ua 248/08,1,0,0
ua 185/11,1,0,0
ua 185/10,1,0,0
ua 123/04,1,0,0
ua 123/05,1,0,0
ua 123/07,1,0,0
ua 123/03,1,0,0
ua 123/09,1,0,0
ua 244/10,1,0,0
czech republic,1,0,0
|subject:  first update to ua 23/13 on yemen (issued 4 february),1,0,0
ua 2/05,1,0,0
ua 290/07,1,0,0
ua 187/10,1,0,0
|subject:  final update to ua 196/11 on iran,1,0,0
ua 344/08,1,0,0
risk for torture,1,1,17
ua 198/04,1,0,0
ua 23/07,1,0,0
ua 23/05,1,0,0
ua 23/08,1,0,0
ua 23/09,1,0,0
|subject:  ua 081/13 on france,1,0,0
ua 19/10,1,0,0
ua 19/11,1,0,0
ua 261/11,1,0,0
ua 219/04,1,0,0
uighur,1,4,0
ua 219/03,1,0,0
ua 342/04,1,0,0
ua 340/09,1,0,0
ua 340/08,1,0,0
|subject:  ua 96/13 on syria issued on (15 april 2013),1,0,0
ua 74/11,1,0,0
ua 74/10,1,0,0
ua 342/09,1,0,0
ua 101/04,1,0,0
ua 245/10,1,0,0
ua 6/07,1,0,0
ex 54/03,1,0,0
(ua 15/10),1,0,0
ua 75/11,1,0,0
uaa130/09,1,0,0
(ua 65/11),1,0,0
ua 246/03,1,0,0
ua 243/10,1,0,0
human rights defeder,1,4,0
ex 56/02,1,0,0
|subject:  stop action on ua 280/03 on nepal,1,0,0
ex 7/03,1,0,0
medical action ma 6/04,1,5,12
ua 036/10,1,0,0
medical action ma 3/04,1,0,0
ua 162/09,1,0,0
ua 162/08,1,0,0
ua 162/07,1,0,0
ua 162/06,1,0,0
ua 162/05,1,0,0
(ua 115/11),1,0,0
ua 16/05,1,0,0
uaa 002/10,1,0,0
ua 160/04,1,0,0
ua 160/06,1,0,0
(ua 116/11),1,0,0
ua 93/10,1,0,0
ua 93/11,1,0,0
ua 240/11,1,0,0
ua 344/04,1,0,0
risk if torture,1,1,10
right to work,1,5,0
poland,1,4,0
medical action ma 8/04,1,5,12
ua 8/03,1,0,0
ua 76/11,1,0,0
ua 76/10,1,0,0
ua 8/04,1,0,0
ua 166/07,1,0,0
ua 8/08,1,0,0
two brothers,1,4,0
ua 97/08,1,0,0
ua 179/06,1,0,0
ua 179/05,1,0,0
male india,1,4,0
ua 179/09,1,0,0
ua 179/08,1,0,0
ua 97/05,1,0,0
ua 97/07,1,0,0
ua 97/06,1,0,0
ua 70/10,1,0,0
ua 366/02,1,0,0
ua 48/07,1,0,0
ua 88/04,1,0,0
(ua 236/10),1,0,0
ua 150/11,1,0,0
ua 150/10,1,0,0
ua 72/11,1,0,0
ua 233/04,1,0,0
ua 241/10,1,0,0
ua 241/11,1,0,0
ua 76/04,1,0,0
ua 99/01,1,0,0
ua 164/11,1,0,0
ua 171/05,1,0,0
ua 171/04,1,0,0
ex 17/03,1,0,0
ua 057/08,1,0,0
uaa348/09,1,0,0
ua 173/04,1,0,0
ua 173/07,1,0,0
ua 173/09,1,0,0
ua 173/08,1,0,0
medical action # ma 13/04,1,5,12
ua 317/03,1,0,0
ua 315/07,1,0,0
ua 17/04,1,0,0
ua 17/08,1,0,0
ua 177/10,1,0,0
ua 210/03,1,0,0
ua 210/07,1,0,0
ua 152/03,1,0,0
ua 152/05,1,0,0
ua 95/09,1,0,0
ua 152/08,1,0,0
ua 152/09,1,0,0
ua 108/08,1,0,0
ua 108/06,1,0,0
ua 286/06,1,0,0
ua 286/07,1,0,0
|subject:  first update to ua 245/11 on the united kingdom,1,0,0
|subject:  second update to ua 114/12 on syria (issued 19 february 2013),1,0,0
ua 055/08,1,0,0
ua 159/11,1,0,0
medical action ma 01/09,1,5,12
ua 197/05,1,0,0
ua 183/08,1,0,0
ua 284/07,1,0,0
ua 197/03,1,0,0
ua 183/06,1,0,0
ua 183/07,1,0,0
ua 183/04,1,0,0
ua 183/05,1,0,0
ua 185/04,1,0,0
ua 185/06,1,0,0
ua 185/07,1,0,0
ua 185/08,1,0,0
ua 158/10,1,0,0
(ua 35/11),1,0,0
|subject:  first update to ua 215/04 on equatorial guinea,1,0,0
|subject:  fifth update to ua 128/12 on bahrain,1,0,0
ua 244/06,1,0,0
ua 244/05,1,0,0
ua 244/08,1,0,0
ua 70/04,1,0,0
(ua 85/11),1,0,0
ua 187/04,1,0,0
(ua 66/10),1,0,0
ua 187/09,1,0,0
ua 153/06,1,0,0
ua 153/05,1,0,0
ill-treatment and fear for safety,1,2,5
ua 19/05,1,0,0
ua 153/03,1,0,0
ua 19/08,1,0,0
ua 172/07,1,0,0
ua 311/07,1,0,0
ua 172/04,1,0,0
ua 172/05,1,0,0
ua 347/08,1,0,0
ua 369/03,1,0,0
uaa339/09,1,0,0
(ua 15/11),1,0,0
ua 75/05,1,0,0
ua 75/07,1,0,0
forced eviction families,1,2,6
ua 75/09,1,0,0
ua 75/08,1,0,0
ua 100/03,1,0,0
ua 100/05,1,0,0
ua 100/04,1,0,0
ua 100/08,1,0,0
conscientious objector,1,4,0
nsa 12/04,1,0,0
ua 162/10,1,0,0
ua 242/09,1,0,0
ua 242/06,1,0,0
ua 189/09,1,0,0
ua 189/05,1,0,0
ua 12/08,1,0,0
ua 93/09,1,0,0
ua 160/11,1,0,0
ua 93/07,1,0,0
ua 12/06,1,0,0
ua 12/07,1,0,0
ua 227/09,1,0,0
ua 227/08,1,0,0
ua 165/04,1,0,0
ua 154/11,1,0,0
|subject:  first update ua 28/13 on bahrain (issued on 5 april 2013),1,0,0
ua 227/02,1,0,0
ua 227/05,1,0,0
ua 227/04,1,0,0
ua 228/11,1,0,0
ua 228/10,1,0,0
ua 2010,1,0,0
ua 2012,1,0,0
ua 179/10,1,0,0
ua 179/11,1,0,0
ua 10/07,1,0,0
ua 10/08,1,0,0
|subject:  first update to ua 175/09 on iran,1,0,0
ua 212/03,1,0,0
ua 212/04,1,0,0
ua 221/03,1,0,0
|subject:  final update to ua 59/12 on saudi arabia,1,0,0
ua 150/06,1,0,0
ua 150/04,1,0,0
ua 171/10,1,0,0
ua 365/03,1,0,0
ua 223/07,1,0,0
ua 223/06,1,0,0
ua 216/09,1,0,0
ua 223/03,1,0,0
ua 216/05,1,0,0
ua 216/07,1,0,0
ua 223/09,1,0,0
ua 223/08,1,0,0
ua 214/09,1,0,0
ua 319/07,1,0,0
ua 319/05,1,0,0
ua 211/10,1,0,0
ua 319/03,1,0,0
# human rights defender,1,4,0
ua 275/11,1,0,0
ua 319/09,1,0,0
ua 319/08,1,0,0
ua 173/10,1,0,0
ua 321/06,1,0,0
ua 326/04,1,0,0
ua 299/08,1,0,0
ua 366/03,1,0,0
ua 249/09,1,0,0
|subject:  ua 205/12 on the usa,1,0,0
ua 88/05,1,0,0
ua 249/05,1,0,0
ua 249/07,1,0,0
ua 249/03,1,0,0
ua 271/11,1,0,0
ua 16/06,1,0,0
ua 16/07,1,0,0
ua 16/09,1,0,0
ua 274/06,1,0,0
ua 108/10,1,0,0
austria,1,3,0
ua 3/05,1,0,0
|subject:  third update on ua 23/13 on yemen issued on (1 may 2013),1,0,0
ua 109/11,1,0,0
ua 218/07,1,0,0
ua 218/06,1,0,0
ua 218/04,1,0,0
ua 233/99,1,0,0
|subject:  uaa 077/13 on colombia,1,0,0
ua 70/05,1,0,0
ua 32/09,1,0,0
ua 7/05,1,0,0
ua 7/09,1,0,0
ua 32/03,1,0,0
ua 32/07,1,0,0
ex 18/01,1,0,0
|subject:  untitled,1,0,0
ua 180/09,1,0,0
ua 180/08,1,0,0
ua 132/04,1,0,0
ua 158/09,1,0,0
ua 158/07,1,0,0
ua 247/05,1,0,0
ua 247/08,1,0,0
ua 22/11,1,0,0
(ua 211/09),1,0,0
ua 193/10,1,0,0
ua 11/09,1,0,0
ua 287/08,1,0,0
ua 167/11,1,0,0
ua 167/10,1,0,0
|subject:  final update to ua 294/11 on brazil,1,0,0
|subject:  third update to ua 296/11 on bahrain,1,0,0
|subject:  ua 272/12 on iran (issued 24 september),1,0,0
(ua 83/11),1,0,0
ua 284/03,1,0,0
(ua 109/11),1,0,0
ua 99/04,1,0,0
enforced disappearances,1,2,13
ua 163/03,1,0,0
ua 163/05,1,0,0
ua 44/11,1,0,0
(ua 80/11),1,0,0
ua 332/06,1,0,0
ua 34/08,1,0,0
ua 34/07,1,0,0
ua 34/03,1,0,0
medical action ma 9/04,1,5,12
ua 214/05,1,0,0
ua 224/11,1,0,0
ua 226/11,1,0,0
ua 272/04,1,0,0
ua 213/03,1,0,0
military courts,1,5,0
ua 169/07,1,0,0
ua 98/04,1,0,0
ua 98/07,1,0,0
ua 169/09,1,0,0
ua 367/03,1,0,0
ua 220/11,1,0,0
ua 220/10,1,0,0
ua 175/11,1,0,0
(ua 103/11),1,0,0
ua 57/09,1,0,0
ua 12/10,1,0,0
ua 215/05,1,0,0
ua 170/04,1,0,0
|subject:  final update on ua 276/08 on bangladesh,1,0,0
ua 170/03,1,0,0
ua 182/04,1,0,0
ua 154/03,1,0,0
ua 227/11,1,0,0
ua 170/08,1,0,0
